instance,2007_INDU-minisat-sat07,2007_INDU-mxc,2007_INDU-picosat-535
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/isqrt/isqrt1_32.cnf,SAT:200.964:200.964:5000.0:0,SAT:215.133:215.133:5000.0:0,SAT:1738.83:1738.83:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/isqrt/isqrt2_32.cnf,SAT:231.551:231.551:5000.0:0,SAT:283.645:283.645:5000.0:0,SAT:2100.67:2100.67:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/maxand/maxand128.cnf,SAT:1107.15:1107.15:5000.0:0,SAT:982.114:982.114:5000.0:0,SAT:1060.88:1060.88:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/maxor/maxor064.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/minandmaxor/minandmaxor064.cnf,SAT:2508.17:2508.17:5000.0:0,SAT:1035.18:1035.18:5000.0:0,SAT:1211.02:1211.02:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/minor/minor128.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:824.978:824.978:5000.0:0,SAT:1407.78:1407.78:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/smulo/smulo032.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/crypto/desgen/gss-18-s100.cnf,SAT:1103.63:1103.63:5000.0:0,SAT:1441.05:1441.05:5000.0:0,SAT:2200.59:2200.59:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/crypto/md5gen/gus-md5-08.cnf,SAT:160.687:160.687:5000.0:0,SAT:1081.48:1081.48:5000.0:0,SAT:1902.33:1902.33:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/ACG-10-10p1.cnf,SAT:154.78:154.78:5000.0:0,SAT:264.051:264.051:5000.0:0,SAT:191.937:191.937:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/ACG-15-5p0.cnf,SAT:183.313:183.313:5000.0:0,SAT:232.326:232.326:5000.0:0,SAT:131.874:131.874:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/ACG-20-5p0.cnf,SAT:870.877:870.877:5000.0:0,SAT:809.13:809.13:5000.0:0,SAT:1475.69:1475.69:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/UCG-10-10p1.cnf,SAT:136.438:136.438:5000.0:0,SAT:214.956:214.956:5000.0:0,SAT:93.3528:93.3528:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/UCG-15-5p1.cnf,SAT:165.555:165.555:5000.0:0,SAT:226.168:226.168:5000.0:0,SAT:131.055:131.055:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/UCG-20-10p0.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:4089.96:4089.96:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/UCG-20-5p0.cnf,SAT:621.543:621.543:5000.0:0,SAT:795.091:795.091:5000.0:0,SAT:782.4:782.4:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/UR-15-5p1.cnf,SAT:296.196:296.196:5000.0:0,SAT:656.766:656.766:5000.0:0,SAT:419.335:419.335:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/UTI-10-10p1.cnf,SAT:416.198:416.198:5000.0:0,SAT:798.249:798.249:5000.0:0,SAT:29.8845:29.8845:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/fuhs/AProVE11/AProVE11-01.cnf,SAT:1.3378:1.3378:5000.0:0,SAT:1.03684:1.03684:5000.0:0,SAT:5.72613:5.72613:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/fuhs/AProVE11/AProVE11-05.cnf,SAT:4.25135:4.25135:5000.0:0,SAT:6.15006:6.15006:5000.0:0,SAT:6.97794:6.97794:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/fuhs/AProVE11/AProVE11-08.cnf,SAT:4.78427:4.78427:5000.0:0,SAT:6.41602:6.41602:5000.0:0,SAT:17.8823:17.8823:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/fuhs/AProVE11/AProVE11-14.cnf,SAT:2.13667:2.13667:5000.0:0,SAT:1.14982:1.14982:5000.0:0,SAT:7.42587:7.42587:5000.0:0
