instance,2009_INDU-clasp-1.2.0-SAT09,2009_INDU-kw,2009_INDU-manysat,2009_INDU-minisat,2009_INDU-minisat-cumrp,2009_INDU-minisat09z,2009_INDU-precosat-236-3e7a3f8-090322
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/isqrt/isqrt1_32.cnf,SAT:164.973:164.973:5000.0:0,SAT:158.284:158.284:5000.0:0,SAT:336.67:336.67:5000.0:0,SAT:314.321:314.321:5000.0:0,SAT:430.942:430.942:5000.0:0,SAT:390.657:390.657:5000.0:0,SAT:160.847:160.847:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/isqrt/isqrt2_32.cnf,SAT:228.627:228.627:5000.0:0,SAT:229.09:229.09:5000.0:0,SAT:440.325:440.325:5000.0:0,SAT:410.917:410.917:5000.0:0,SAT:565.201:565.201:5000.0:0,SAT:420.658:420.658:5000.0:0,SAT:290.669:290.669:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/maxand/maxand128.cnf,SAT:26.9809:26.9809:5000.0:0,SAT:246.775:246.775:5000.0:0,SAT:529.384:529.384:5000.0:0,SAT:117.084:117.084:5000.0:0,SAT:1683.4:1683.4:5000.0:0,SAT:456.098:456.098:5000.0:0,SAT:12.865:12.865:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/maxor/maxor064.cnf,SAT:1168.51:1168.51:5000.0:0,SAT:1369.18:1369.18:5000.0:0,SAT:1116.95:1116.95:5000.0:0,SAT:210.118:210.118:5000.0:0,SAT:2410.1:2410.1:5000.0:0,SAT:2227.98:2227.98:5000.0:0,SAT:66.2609:66.2609:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/minandmaxor/minandmaxor064.cnf,SAT:364.084:364.084:5000.0:0,SAT:303.777:303.777:5000.0:0,SAT:603.361:603.361:5000.0:0,SAT:223.039:223.039:5000.0:0,SAT:993.286:993.286:5000.0:0,SAT:872.197:872.197:5000.0:0,SAT:125.736:125.736:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/minor/minor128.cnf,SAT:16.8084:16.8084:5000.0:0,SAT:181.412:181.412:5000.0:0,SAT:363.95:363.95:5000.0:0,SAT:110.534:110.534:5000.0:0,SAT:1048.84:1048.84:5000.0:0,SAT:626.31:626.31:5000.0:0,SAT:13.5509:13.5509:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/smulo/smulo032.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1344.28:1344.28:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:691.602:691.602:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/crypto/desgen/gss-18-s100.cnf,SAT:783.564:783.564:5000.0:0,SAT:538.546:538.546:5000.0:0,SAT:1913.58:1913.58:5000.0:0,SAT:113.678:113.678:5000.0:0,SAT:1757.24:1757.24:5000.0:0,SAT:815.805:815.805:5000.0:0,SAT:406.707:406.707:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/crypto/md5gen/gus-md5-08.cnf,SAT:169.69:169.69:5000.0:0,SAT:140.35:140.35:5000.0:0,SAT:754.749:754.749:5000.0:0,SAT:98.2551:98.2551:5000.0:0,SAT:285.931:285.931:5000.0:0,SAT:254.124:254.124:5000.0:0,SAT:242.998:242.998:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/ACG-10-10p1.cnf,SAT:1097.36:1097.36:5000.0:0,SAT:142.133:142.133:5000.0:0,SAT:222.151:222.151:5000.0:0,SAT:82.8724:82.8724:5000.0:0,SAT:139.179:139.179:5000.0:0,SAT:138.03:138.03:5000.0:0,SAT:52.1881:52.1881:5000.0:0
