instance,2011_INDU-LR_GL_SHR,2011_INDU-RestartSAT,2011_INDU-cir_minisat,2011_INDU-contrasat,2011_INDU-ebminisat,2011_INDU-glueminisat,2011_INDU-minisat,2011_INDU-minisat-2.2.0-agile-26,2011_INDU-rcl
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/isqrt/isqrt1_32.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:353.699:353.699:5000.0:0,SAT:121.175:121.175:5000.0:0,SAT:135.388:135.388:5000.0:0,SAT:132.56:132.56:5000.0:0,SAT:90.4752:90.4752:5000.0:0,SAT:125.165:125.165:5000.0:0,SAT:101.101:101.101:5000.0:0,SAT:136.082:136.082:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/isqrt/isqrt2_32.cnf,SAT:2910.96:2910.96:5000.0:0,SAT:318.404:318.404:5000.0:0,SAT:100.594:100.594:5000.0:0,SAT:116.541:116.541:5000.0:0,SAT:107.947:107.947:5000.0:0,SAT:132.279:132.279:5000.0:0,SAT:97.4162:97.4162:5000.0:0,SAT:64.5502:64.5502:5000.0:0,SAT:191.701:191.701:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/maxand/maxand128.cnf,SAT:10.3774:10.3774:5000.0:0,SAT:77.3242:77.3242:5000.0:0,SAT:4514.59:4514.59:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:11.2043:11.2043:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:118.585:118.585:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/maxor/maxor064.cnf,SAT:178.849:178.849:5000.0:0,SAT:137.017:137.017:5000.0:0,SAT:420.76:420.76:5000.0:0,SAT:471.043:471.043:5000.0:0,SAT:372.481:372.481:5000.0:0,SAT:91.5861:91.5861:5000.0:0,SAT:396.142:396.142:5000.0:0,SAT:325.182:325.182:5000.0:0,SAT:740.7:740.7:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/minandmaxor/minandmaxor064.cnf,SAT:86.2389:86.2389:5000.0:0,SAT:92.303:92.303:5000.0:0,SAT:527.538:527.538:5000.0:0,SAT:75.3145:75.3145:5000.0:0,SAT:421.832:421.832:5000.0:0,SAT:75.4185:75.4185:5000.0:0,SAT:626.096:626.096:5000.0:0,SAT:1526.14:1526.14:5000.0:0,SAT:146.888:146.888:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/minor/minor128.cnf,SAT:5.36518:5.36518:5000.0:0,SAT:32.3071:32.3071:5000.0:0,SAT:2865.58:2865.58:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:2626.49:2626.49:5000.0:0,SAT:9.96748:9.96748:5000.0:0,SAT:2700.63:2700.63:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:139.397:139.397:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/smulo/smulo032.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:735.232:735.232:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/crypto/desgen/gss-18-s100.cnf,SAT:520.434:520.434:5000.0:0,SAT:445.493:445.493:5000.0:0,SAT:276.29:276.29:5000.0:0,SAT:185.441:185.441:5000.0:0,SAT:537.586:537.586:5000.0:0,SAT:424.613:424.613:5000.0:0,SAT:269.334:269.334:5000.0:0,SAT:208.856:208.856:5000.0:0,SAT:474.892:474.892:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/crypto/md5gen/gus-md5-08.cnf,SAT:81.0977:81.0977:5000.0:0,SAT:156.496:156.496:5000.0:0,SAT:76.3214:76.3214:5000.0:0,SAT:105.267:105.267:5000.0:0,SAT:153.622:153.622:5000.0:0,SAT:200.548:200.548:5000.0:0,SAT:74.5447:74.5447:5000.0:0,SAT:68.6736:68.6736:5000.0:0,SAT:89.9333:89.9333:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/ACG-10-10p1.cnf,SAT:100.066:100.066:5000.0:0,SAT:65.821:65.821:5000.0:0,SAT:202.248:202.248:5000.0:0,SAT:215.27:215.27:5000.0:0,SAT:135.395:135.395:5000.0:0,SAT:71.8681:71.8681:5000.0:0,SAT:160.932:160.932:5000.0:0,SAT:110.475:110.475:5000.0:0,SAT:106.601:106.601:5000.0:0
