instance,2013_INDU-GlucoRed,2013_INDU-Lingeling,2013_INDU-Lingeling_aqw,2013_INDU-Nigma,2013_INDU-Nigma-NoPB,2013_INDU-RSeq,2013_INDU-Riss3g_3g,2013_INDU-SAT4J,2013_INDU-Solver43a,2013_INDU-Solver43b,2013_INDU-ZENN,2013_INDU-forl,2013_INDU-gluH,2013_INDU-gluH_simp,2013_INDU-glucose,2013_INDU-glue_bit,2013_INDU-gluebit_lgl,2013_INDU-glueminisat,2013_INDU-minipure,2013_INDU-relback,2013_INDU-satUZK,2013_INDU-sattimeRelbackShr,2013_INDU-strangenight
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/isqrt/isqrt1_32.cnf,SAT:148.691:148.691:5000.0:0,SAT:133.686:133.686:5000.0:0,SAT:143.202:143.202:5000.0:0,SAT:73.2919:73.2919:5000.0:0,SAT:74.3187:74.3187:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:71.2832:71.2832:5000.0:0,SAT:315.423:315.423:5000.0:0,SAT:55.0596:55.0596:5000.0:0,SAT:62.2145:62.2145:5000.0:0,SAT:83.1024:83.1024:5000.0:0,SAT:164.552:164.552:5000.0:0,SAT:67.8087:67.8087:5000.0:0,SAT:78.848:78.848:5000.0:0,SAT:79.5519:79.5519:5000.0:0,SAT:62.6185:62.6185:5000.0:0,SAT:128.235:128.235:5000.0:0,SAT:80.4308:80.4308:5000.0:0,SAT:82.7214:82.7214:5000.0:0,SAT:76.5344:76.5344:5000.0:0,SAT:175.511:175.511:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:392.828:392.828:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/isqrt/isqrt2_32.cnf,SAT:135.517:135.517:5000.0:0,SAT:149.928:149.928:5000.0:0,SAT:109.577:109.577:5000.0:0,SAT:77.8462:77.8462:5000.0:0,SAT:78.1061:78.1061:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:84.1842:84.1842:5000.0:0,SAT:475.483:475.483:5000.0:0,SAT:142.094:142.094:5000.0:0,SAT:85.9969:85.9969:5000.0:0,SAT:88.9045:88.9045:5000.0:0,SAT:144.765:144.765:5000.0:0,SAT:83.5313:83.5313:5000.0:0,SAT:74.7286:74.7286:5000.0:0,SAT:81.5426:81.5426:5000.0:0,SAT:72.7669:72.7669:5000.0:0,SAT:153.385:153.385:5000.0:0,SAT:88.4516:88.4516:5000.0:0,SAT:111.942:111.942:5000.0:0,SAT:66.4279:66.4279:5000.0:0,SAT:226.939:226.939:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:434.682:434.682:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/maxand/maxand128.cnf,SAT:7.31289:7.31289:5000.0:0,SAT:8.76767:8.76767:5000.0:0,SAT:22.0307:22.0307:5000.0:0,SAT:44.8042:44.8042:5000.0:0,SAT:71.7821:71.7821:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:8.28774:8.28774:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:67.7447:67.7447:5000.0:0,SAT:113.18:113.18:5000.0:0,SAT:10.4304:10.4304:5000.0:0,SAT:30.5324:30.5324:5000.0:0,SAT:22.4646:22.4646:5000.0:0,SAT:20.9788:20.9788:5000.0:0,SAT:5.09023:5.09023:5000.0:0,SAT:15.7116:15.7116:5000.0:0,SAT:103.678:103.678:5000.0:0,SAT:7.31489:7.31489:5000.0:0,SAT:4229.67:4229.67:5000.0:0,SAT:28.2417:28.2417:5000.0:0,SAT:160.681:160.681:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:16.2365:16.2365:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/maxor/maxor064.cnf,SAT:90.1083:90.1083:5000.0:0,SAT:169.672:169.672:5000.0:0,SAT:181.574:181.574:5000.0:0,SAT:74.7416:74.7416:5000.0:0,SAT:92.7299:92.7299:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:203.693:203.693:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:141.67:141.67:5000.0:0,SAT:102.626:102.626:5000.0:0,SAT:147.796:147.796:5000.0:0,SAT:140.791:140.791:5000.0:0,SAT:131.34:131.34:5000.0:0,SAT:114.216:114.216:5000.0:0,SAT:94.6696:94.6696:5000.0:0,SAT:105.266:105.266:5000.0:0,SAT:930.406:930.406:5000.0:0,SAT:89.3494:89.3494:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:193.267:193.267:5000.0:0,SAT:513.694:513.694:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:198.799:198.799:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/minandmaxor/minandmaxor064.cnf,SAT:142.917:142.917:5000.0:0,SAT:228.302:228.302:5000.0:0,SAT:174.34:174.34:5000.0:0,SAT:62.5785:62.5785:5000.0:0,SAT:106.241:106.241:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:121.657:121.657:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:121.039:121.039:5000.0:0,SAT:97.2772:97.2772:5000.0:0,SAT:193.898:193.898:5000.0:0,SAT:173.743:173.743:5000.0:0,SAT:66.4159:66.4159:5000.0:0,SAT:106.952:106.952:5000.0:0,SAT:86.3939:86.3939:5000.0:0,SAT:46.086:46.086:5000.0:0,SAT:132.968:132.968:5000.0:0,SAT:90.1393:90.1393:5000.0:0,SAT:991.047:991.047:5000.0:0,SAT:93.4838:93.4838:5000.0:0,SAT:104.838:104.838:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:131.926:131.926:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/minor/minor128.cnf,SAT:5.34219:5.34219:5000.0:0,SAT:10.4074:10.4074:5000.0:0,SAT:23.8304:23.8304:5000.0:0,SAT:55.2726:55.2726:5000.0:0,SAT:103.533:103.533:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:29.2616:29.2616:5000.0:0,SAT:3790.11:3790.11:5000.0:0,SAT:83.3703:83.3703:5000.0:0,SAT:73.3489:73.3489:5000.0:0,SAT:8.12576:8.12576:5000.0:0,SAT:33.5489:33.5489:5000.0:0,SAT:19.579:19.579:5000.0:0,SAT:18.2112:18.2112:5000.0:0,SAT:4.87426:4.87426:5000.0:0,SAT:18.9001:18.9001:5000.0:0,SAT:80.9107:80.9107:5000.0:0,SAT:9.2286:9.2286:5000.0:0,SAT:2480.39:2480.39:5000.0:0,SAT:24.9442:24.9442:5000.0:0,SAT:78.2081:78.2081:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:15.8256:15.8256:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/smulo/smulo032.cnf,SAT:301.362:301.362:5000.0:0,SAT:1379.05:1379.05:5000.0:0,SAT:2695.38:2695.38:5000.0:0,SAT:1023.29:1023.29:5000.0:0,SAT:1097.34:1097.34:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:406.244:406.244:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1536.9:1536.9:5000.0:0,SAT:1023.73:1023.73:5000.0:0,SAT:2001.45:2001.45:5000.0:0,SAT:808.262:808.262:5000.0:0,SAT:442.508:442.508:5000.0:0,SAT:545.038:545.038:5000.0:0,SAT:707.563:707.563:5000.0:0,SAT:710.619:710.619:5000.0:0,SAT:474.221:474.221:5000.0:0,SAT:1048.43:1048.43:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1568.91:1568.91:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/crypto/desgen/gss-18-s100.cnf,SAT:1747.78:1747.78:5000.0:0,SAT:53.9598:53.9598:5000.0:0,SAT:217.163:217.163:5000.0:0,SAT:136.187:136.187:5000.0:0,SAT:70.4213:70.4213:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:213.378:213.378:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:310.832:310.832:5000.0:0,SAT:392.188:392.188:5000.0:0,SAT:283.759:283.759:5000.0:0,SAT:49.6924:49.6924:5000.0:0,SAT:118.938:118.938:5000.0:0,SAT:250.609:250.609:5000.0:0,SAT:231.656:231.656:5000.0:0,SAT:22.2406:22.2406:5000.0:0,SAT:43.9553:43.9553:5000.0:0,SAT:485.2:485.2:5000.0:0,SAT:433.007:433.007:5000.0:0,SAT:13.5599:13.5599:5000.0:0,SAT:271.51:271.51:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:238.699:238.699:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/crypto/md5gen/gus-md5-08.cnf,SAT:212.328:212.328:5000.0:0,SAT:178.023:178.023:5000.0:0,SAT:171.825:171.825:5000.0:0,SAT:184.215:184.215:5000.0:0,SAT:119.903:119.903:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:148.891:148.891:5000.0:0,SAT:2204.78:2204.78:5000.0:0,SAT:346.239:346.239:5000.0:0,SAT:305.289:305.289:5000.0:0,SAT:172.1:172.1:5000.0:0,SAT:136.746:136.746:5000.0:0,SAT:265.805:265.805:5000.0:0,SAT:296.221:296.221:5000.0:0,SAT:217.217:217.217:5000.0:0,SAT:223.69:223.69:5000.0:0,SAT:170.327:170.327:5000.0:0,SAT:212.733:212.733:5000.0:0,SAT:96.8613:96.8613:5000.0:0,SAT:278.828:278.828:5000.0:0,SAT:130.05:130.05:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:75.8775:75.8775:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/ACG-10-10p1.cnf,SAT:77.9331:77.9331:5000.0:0,SAT:39.371:39.371:5000.0:0,SAT:57.8982:57.8982:5000.0:0,SAT:104.422:104.422:5000.0:0,SAT:78.2391:78.2391:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:32.5051:32.5051:5000.0:0,SAT:558.511:558.511:5000.0:0,SAT:158.591:158.591:5000.0:0,SAT:74.2237:74.2237:5000.0:0,SAT:109.896:109.896:5000.0:0,SAT:78.4191:78.4191:5000.0:0,SAT:54.4927:54.4927:5000.0:0,SAT:101.613:101.613:5000.0:0,SAT:50.3423:50.3423:5000.0:0,SAT:64.7911:64.7911:5000.0:0,SAT:43.6174:43.6174:5000.0:0,SAT:39.657:39.657:5000.0:0,SAT:141.345:141.345:5000.0:0,SAT:96.5403:96.5403:5000.0:0,SAT:9.73052:9.73052:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:98.2631:98.2631:5000.0:0
