instance,2014_INDU-BFS-Glucose_1.0c,2014_INDU-BFS-Glucose_mem_16_70_1.0cm,2014_INDU-BFS-Glucose_mem_32_70_1.0cm,2014_INDU-BFS-Glucose_mem_8_85_1.0cm,2014_INDU-CCAnr+glucose_2014,2014_INDU-Lingeling_(druplig)_azd,2014_INDU-Lingeling_(no_agile)_ayv,2014_INDU-Lingeling_ayv,2014_INDU-MiniSat_HACK_1430ED_1.0,2014_INDU-MiniSat_HACK_999ED_1.0,2014_INDU-Nigma,2014_INDU-Riss_4.27,2014_INDU-Riss_BlackBox_BlackBox,2014_INDU-Riss_DRAT,2014_INDU-SGSeq_1.0,2014_INDU-SWDiA5BY_A26,2014_INDU-SWDiA5BY_A30.4.100,2014_INDU-SatUZK_55,2014_INDU-SparrowToRiss_2014,2014_INDU-cryptominisat-4.1-st_4.1-st,2014_INDU-cryptominisat-v41-tuned-st_v41-tuned-st,2014_INDU-glucose_3.0,2014_INDU-glue_lgl_split_1.0,2014_INDU-glueminisat,2014_INDU-glueminisat_dev122,2014_INDU-minisat_blbd_1.13,2014_INDU-sattime2014r_2014r
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/isqrt/isqrt1_32.cnf,SAT:134.466:134.466:5000.0:0,SAT:158.824:158.824:5000.0:0,SAT:166.815:166.815:5000.0:0,SAT:127.658:127.658:5000.0:0,SAT:1080.7:1080.7:5000.0:0,SAT:125.781:125.781:5000.0:0,SAT:119.74:119.74:5000.0:0,SAT:126.025:126.025:5000.0:0,SAT:83.3133:83.3133:5000.0:0,SAT:69.1215:69.1215:5000.0:0,SAT:94.0387:94.0387:5000.0:0,SAT:88.2326:88.2326:5000.0:0,SAT:117.747:117.747:5000.0:0,SAT:87.7387:87.7387:5000.0:0,SAT:1063.29:1063.29:5000.0:0,SAT:69.1385:69.1385:5000.0:0,SAT:81.7986:81.7986:5000.0:0,SAT:136.453:136.453:5000.0:0,SAT:301.583:301.583:5000.0:0,SAT:128.697:128.697:5000.0:0,SAT:120.504:120.504:5000.0:0,SAT:80.4198:80.4198:5000.0:0,SAT:128.777:128.777:5000.0:0,SAT:117.02:117.02:5000.0:0,SAT:114.544:114.544:5000.0:0,SAT:61.7276:61.7276:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/isqrt/isqrt2_32.cnf,SAT:172.806:172.806:5000.0:0,SAT:216.223:216.223:5000.0:0,SAT:215.043:215.043:5000.0:0,SAT:166.56:166.56:5000.0:0,SAT:1081.18:1081.18:5000.0:0,SAT:138.517:138.517:5000.0:0,SAT:124.067:124.067:5000.0:0,SAT:137.675:137.675:5000.0:0,SAT:77.5652:77.5652:5000.0:0,SAT:78.876:78.876:5000.0:0,SAT:89.1794:89.1794:5000.0:0,SAT:140.345:140.345:5000.0:0,SAT:112.584:112.584:5000.0:0,SAT:140.476:140.476:5000.0:0,SAT:1065.4:1065.4:5000.0:0,SAT:77.7222:77.7222:5000.0:0,SAT:84.4402:84.4402:5000.0:0,SAT:176.806:176.806:5000.0:0,SAT:331.478:331.478:5000.0:0,SAT:147.543:147.543:5000.0:0,SAT:156.724:156.724:5000.0:0,SAT:81.9545:81.9545:5000.0:0,SAT:165.725:165.725:5000.0:0,SAT:136.723:136.723:5000.0:0,SAT:132.669:132.669:5000.0:0,SAT:78.649:78.649:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/maxand/maxand128.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1005.32:1005.32:5000.0:0,SAT:55.4126:55.4126:5000.0:0,SAT:35.2746:35.2746:5000.0:0,SAT:38.6281:38.6281:5000.0:0,SAT:12.6541:12.6541:5000.0:0,SAT:27.1779:27.1779:5000.0:0,SAT:30.1004:30.1004:5000.0:0,SAT:21.7027:21.7027:5000.0:0,SAT:48.2407:48.2407:5000.0:0,SAT:24.6073:24.6073:5000.0:0,SAT:1003.81:1003.81:5000.0:0,SAT:16.9304:16.9304:5000.0:0,SAT:16.2785:16.2785:5000.0:0,SAT:157.31:157.31:5000.0:0,SAT:619.42:619.42:5000.0:0,SAT:44.9012:44.9012:5000.0:0,SAT:75.4995:75.4995:5000.0:0,SAT:5.56015:5.56015:5000.0:0,SAT:6.46902:6.46902:5000.0:0,SAT:8.21575:8.21575:5000.0:0,SAT:8.11677:8.11677:5000.0:0,SAT:71.3491:71.3491:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/maxor/maxor064.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1148.39:1148.39:5000.0:0,SAT:137.797:137.797:5000.0:0,SAT:134.833:134.833:5000.0:0,SAT:142.71:142.71:5000.0:0,SAT:96.7053:96.7053:5000.0:0,SAT:170.755:170.755:5000.0:0,SAT:130.414:130.414:5000.0:0,SAT:227.767:227.767:5000.0:0,SAT:1091.31:1091.31:5000.0:0,SAT:282.346:282.346:5000.0:0,SAT:1099.64:1099.64:5000.0:0,SAT:69.2755:69.2755:5000.0:0,SAT:83.4623:83.4623:5000.0:0,SAT:747.921:747.921:5000.0:0,SAT:864.318:864.318:5000.0:0,SAT:217.36:217.36:5000.0:0,SAT:304.222:304.222:5000.0:0,SAT:105.932:105.932:5000.0:0,SAT:52.1251:52.1251:5000.0:0,SAT:83.9532:83.9532:5000.0:0,SAT:73.3598:73.3598:5000.0:0,SAT:287.13:287.13:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/minandmaxor/minandmaxor064.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1100.34:1100.34:5000.0:0,SAT:109.647:109.647:5000.0:0,SAT:148.369:148.369:5000.0:0,SAT:146.698:146.698:5000.0:0,SAT:103.493:103.493:5000.0:0,SAT:153.945:153.945:5000.0:0,SAT:104.318:104.318:5000.0:0,SAT:140.222:140.222:5000.0:0,SAT:437.587:437.587:5000.0:0,SAT:137.137:137.137:5000.0:0,SAT:1127.54:1127.54:5000.0:0,SAT:108.235:108.235:5000.0:0,SAT:82.2085:82.2085:5000.0:0,SAT:646.021:646.021:5000.0:0,SAT:848.771:848.771:5000.0:0,SAT:224.487:224.487:5000.0:0,SAT:340.501:340.501:5000.0:0,SAT:106.861:106.861:5000.0:0,SAT:69.8224:69.8224:5000.0:0,SAT:124.385:124.385:5000.0:0,SAT:161.863:161.863:5000.0:0,SAT:214.68:214.68:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/minor/minor128.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1005.56:1005.56:5000.0:0,SAT:43.2694:43.2694:5000.0:0,SAT:30.1264:30.1264:5000.0:0,SAT:29.0526:29.0526:5000.0:0,SAT:17.5093:17.5093:5000.0:0,SAT:25.2292:25.2292:5000.0:0,SAT:27.1769:27.1769:5000.0:0,SAT:24.5273:24.5273:5000.0:0,SAT:30.9123:30.9123:5000.0:0,SAT:27.4378:27.4378:5000.0:0,SAT:1010.74:1010.74:5000.0:0,SAT:6.544:6.544:5000.0:0,SAT:8.5727:8.5727:5000.0:0,SAT:215.538:215.538:5000.0:0,SAT:777.584:777.584:5000.0:0,SAT:75.1146:75.1146:5000.0:0,SAT:56.3874:56.3874:5000.0:0,SAT:5.19821:5.19821:5000.0:0,SAT:3.20851:3.20851:5000.0:0,SAT:8.40572:8.40572:5000.0:0,SAT:7.78881:7.78881:5000.0:0,SAT:105.43:105.43:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/bitverif/smulo/smulo032.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1830.13:1830.13:5000.0:0,SAT:1226.54:1226.54:5000.0:0,SAT:1877.3:1877.3:5000.0:0,SAT:4786.55:4786.55:5000.0:0,SAT:811.552:811.552:5000.0:0,SAT:1214.65:1214.65:5000.0:0,SAT:2131.93:2131.93:5000.0:0,SAT:456.821:456.821:5000.0:0,SAT:2600.98:2600.98:5000.0:0,SAT:427.765:427.765:5000.0:0,SAT:1941.92:1941.92:5000.0:0,SAT:1263.03:1263.03:5000.0:0,SAT:1002.02:1002.02:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1770.03:1770.03:5000.0:0,SAT:776.279:776.279:5000.0:0,SAT:683.716:683.716:5000.0:0,SAT:856.277:856.277:5000.0:0,SAT:436.373:436.373:5000.0:0,SAT:914.78:914.78:5000.0:0,SAT:804.395:804.395:5000.0:0,SAT:765.985:765.985:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/crypto/desgen/gss-18-s100.cnf,SAT:1169.58:1169.58:5000.0:0,SAT:3999.7:3999.7:5000.0:0,SAT:47.7487:47.7487:5000.0:0,SAT:1829.75:1829.75:5000.0:0,SAT:1594.02:1594.02:5000.0:0,SAT:452.484:452.484:5000.0:0,SAT:60.4998:60.4998:5000.0:0,SAT:64.4242:64.4242:5000.0:0,SAT:48.9346:48.9346:5000.0:0,SAT:8.30674:8.30674:5000.0:0,SAT:386.872:386.872:5000.0:0,SAT:147.431:147.431:5000.0:0,SAT:117.614:117.614:5000.0:0,SAT:155.421:155.421:5000.0:0,SAT:1371.66:1371.66:5000.0:0,SAT:263.051:263.051:5000.0:0,SAT:295.012:295.012:5000.0:0,SAT:478.487:478.487:5000.0:0,SAT:918.926:918.926:5000.0:0,SAT:307.181:307.181:5000.0:0,SAT:160.782:160.782:5000.0:0,SAT:225.509:225.509:5000.0:0,SAT:248.613:248.613:5000.0:0,SAT:310.143:310.143:5000.0:0,SAT:284.598:284.598:5000.0:0,SAT:240.167:240.167:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/crypto/md5gen/gus-md5-08.cnf,SAT:411.327:411.327:5000.0:0,SAT:440.04:440.04:5000.0:0,SAT:587.3:587.3:5000.0:0,SAT:584.471:584.471:5000.0:0,SAT:1548.15:1548.15:5000.0:0,SAT:386.008:386.008:5000.0:0,SAT:396.2:396.2:5000.0:0,SAT:288.343:288.343:5000.0:0,SAT:290.022:290.022:5000.0:0,SAT:84.5671:84.5671:5000.0:0,SAT:96.3034:96.3034:5000.0:0,SAT:238.204:238.204:5000.0:0,SAT:311.409:311.409:5000.0:0,SAT:289.039:289.039:5000.0:0,SAT:1277.78:1277.78:5000.0:0,SAT:162.225:162.225:5000.0:0,SAT:186.083:186.083:5000.0:0,SAT:315.411:315.411:5000.0:0,SAT:1149.83:1149.83:5000.0:0,SAT:164.598:164.598:5000.0:0,SAT:159.824:159.824:5000.0:0,SAT:212.585:212.585:5000.0:0,SAT:206.723:206.723:5000.0:0,SAT:172.205:172.205:5000.0:0,SAT:173.239:173.239:5000.0:0,SAT:84.8401:84.8401:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/ACG-10-10p1.cnf,SAT:45.1851:45.1851:5000.0:0,SAT:244.649:244.649:5000.0:0,SAT:329.481:329.481:5000.0:0,SAT:62.9004:62.9004:5000.0:0,SAT:587.056:587.056:5000.0:0,SAT:72.078:72.078:5000.0:0,SAT:76.2234:76.2234:5000.0:0,SAT:71.0272:71.0272:5000.0:0,SAT:86.4789:86.4789:5000.0:0,SAT:29.4495:29.4495:5000.0:0,SAT:114.865:114.865:5000.0:0,SAT:65.692:65.692:5000.0:0,SAT:79.7769:79.7769:5000.0:0,SAT:104.747:104.747:5000.0:0,SAT:1043.4:1043.4:5000.0:0,SAT:20.7508:20.7508:5000.0:0,SAT:15.9046:15.9046:5000.0:0,SAT:75.0496:75.0496:5000.0:0,SAT:963.065:963.065:5000.0:0,SAT:200.673:200.673:5000.0:0,SAT:104.487:104.487:5000.0:0,SAT:87.9196:87.9196:5000.0:0,SAT:38.1722:38.1722:5000.0:0,SAT:82.0245:82.0245:5000.0:0,SAT:51.0512:51.0512:5000.0:0,SAT:163.95:163.95:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
